pid,elapsed,queue,event
4,28,1,DEMOTE
6,29,1,DEMOTE
4,32,2,DEMOTE
6,33,2,DEMOTE
5,48,0,BOOST
7,48,0,BOOST
8,85,1,DEMOTE
9,87,1,DEMOTE
12,88,1,DEMOTE
11,88,1,DEMOTE
9,92,2,DEMOTE
11,92,2,DEMOTE
9,96,0,BOOST
10,96,0,BOOST
11,96,0,BOOST
12,96,0,BOOST
11,96,1,DEMOTE
9,97,1,DEMOTE
11,100,2,DEMOTE
9,101,2,DEMOTE
9,108,3,DEMOTE
9,144,0,BOOST
11,144,0,BOOST
9,144,1,DEMOTE
11,144,1,DEMOTE
9,148,2,DEMOTE
11,148,2,DEMOTE
9,156,3,DEMOTE
11,156,3,DEMOTE
14,219,1,DEMOTE
16,219,1,DEMOTE
14,223,2,DEMOTE
16,223,2,DEMOTE
